,Name,CV folds,Train acc,Cross acc,Cross acc STD,Cross acc STD STD,Cross acc - 3*STD,Cross acc - 3*STD - STD_rand,Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Classifier options
0,Log,2,84.7,83.5,1.1,0.9,80.2,79.3,4.6,0,0.89,0.88,0.8,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
1,Log,3,84.7,83.7,1.3,0.8,79.9,79.2,4.8,0,0.89,0.88,0.8,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
2,Log,5,84.7,83.9,1.9,0.8,78.1,77.3,6.6,1,0.89,0.88,0.8,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
3,Log,10,84.7,84.0,3.3,1.0,74.1,73.1,10.6,1,0.89,0.88,0.8,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
