,KNN 7_Single,KNN 8_Single,KNN 9_Single,KNN 10_Single,KNN 11_Single,KNN 12_Single
KNN 7_Single,1.0,0.9500098192736836,0.9289724071333523,0.9294876433327844,0.8889235063460663,0.9096924236822863
KNN 8_Single,0.9500098192736836,1.0,0.9695418923678598,0.9792039800995024,0.9199862053511318,0.937448654121011
KNN 9_Single,0.9289724071333523,0.9695418923678598,1.0,0.9695418923678596,0.9395469473359409,0.9287172926463895
KNN 10_Single,0.9294876433327844,0.9792039800995024,0.9695418923678596,1.0,0.940460821144805,0.9479103568501485
KNN 11_Single,0.8889235063460663,0.9199862053511318,0.9395469473359409,0.940460821144805,1.0,0.9209890171926046
KNN 12_Single,0.9096924236822863,0.937448654121011,0.9287172926463895,0.9479103568501485,0.9209890171926046,1.0
