,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Full Cross acc,Full Cross acc STD,Full Cross acc - 3*STD,Full Train - Cross acc-STD*3,Spec Cross acc,Spec Cross acc STD,Spec Cross acc - 3*STD,Spec Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
0,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",NB,Single,39.8,,,43.8,10.7,11.9,28.0,39.9,2.6,32.2,7.7,466,0.87,0.05,0.56,1.0,0.39,0.02,1.0,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'priors': None, 'var_smoothing': 1e-09}"
1,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",NB,Bag 0.9 Feat 1.0 replace True,39.8,39.8,0.0,,,,,,,,,19,0.86,0.05,0.56,1.0,0.39,0.02,1.0,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__priors': None, 'base_estimator__var_smoothing': 1e-09, 'base_estimator': GaussianNB(priors=None, var_smoothing=1e-09), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
