,KNN 5_Single,KNN 9_Single,KNN 12_Single,KNN 15_Single,Grid KNN_Grid
KNN 5_Single,1.0,0.839111621808685,0.839833438752028,0.8201835680838532,0.839833438752028
KNN 9_Single,0.839111621808685,1.0,0.9389653087913379,0.8981505162568264,0.9389653087913379
KNN 12_Single,0.839833438752028,0.9389653087913379,1.0,0.9372561341221862,1.0
KNN 15_Single,0.8201835680838532,0.8981505162568264,0.9372561341221862,1.0,0.9372561341221862
Grid KNN_Grid,0.839833438752028,0.9389653087913379,1.0,0.9372561341221862,1.0
