,Log_Single,KNN 8_Single,SVM rbf_Single,RF 7_Single,ET 5_Single,XGB_Single
Log_Single,1.0,0.8839184656562598,0.9201269723264881,0.8880865224925781,0.90970950010459,0.8773954750199472
KNN 8_Single,0.8839184656562598,1.0,0.8557821781789733,0.8995220165386333,0.8557821781789734,0.8491501863486838
SVM rbf_Single,0.9201269723264881,0.8557821781789733,1.0,0.9048660458509502,0.9786691161461523,0.8753698952796751
RF 7_Single,0.8880865224925781,0.8995220165386333,0.9048660458509502,1.0,0.9048660458509503,0.8961731189146854
ET 5_Single,0.90970950010459,0.8557821781789734,0.9786691161461523,0.9048660458509503,1.0,0.8963711359515972
XGB_Single,0.8773954750199472,0.8491501863486838,0.8753698952796751,0.8961731189146854,0.8963711359515972,1.0
