,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Full Cross acc,Full Cross acc STD,Full Cross acc - 3*STD,Full Train - Cross acc-STD*3,Spec Cross acc,Spec Cross acc STD,Spec Cross acc - 3*STD,Spec Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
0,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Single,85.4,,,0,0,0,85.4,83.9,1.8,78.6,6.8,44,0.9,0.88,0.8,0.86,0.84,0.91,0.77,36,"['Sex', 'Age', 'SibSp', 'Family size', 'Fare 13.5+', 'Fare log', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_0', 'SibSpBin_2', 'SibSpBin_4', 'SibSpBin_5+', 'ParchBin_1', 'ParchBin_2', 'ParchBin_3', 'ParchBin_4+', 'Family size bin_1', 'Family size bin_23', 'Family size bin_4', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_AG', 'DeckBin_B', 'DeckBin_CF', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_1', 'Pclass_2', 'Pclass_3', 'Embarked_S', 'Known family/ticket survived %', 'Family/ticket survival known', 'Age Bin_-4', 'Age Bin_24-32', 'Age Bin_42+']","{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
1,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 8,Single,87.1,,,0,0,0,87.1,84.1,1.9,78.5,8.6,18,0.93,0.9,0.82,0.86,0.9,0.95,0.75,23,"['Sex', 'Age', 'SibSp', 'Family size', 'Fare 13.5+', 'Fare log', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_2', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_4', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_B', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_-4', 'Age Bin_42+']","{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}"
