,SVM rbf C=0.1_Single,SVM rbf C=1_Single,SVM rbf C=2_Single
SVM rbf C=0.1_Single,1.0,0.9207608261912233,0.8965705226326836
SVM rbf C=1_Single,0.9207608261912233,1.0,0.9744478398925559
SVM rbf C=2_Single,0.8965705226326836,0.9744478398925559,1.0
