output_preds,False
input_options_not_to_output,"['classifiers', 'grid_classifiers']"
num_folds,5
num_rands,5
bagging_fractions,[0.9]
bagging_feature_fractions,[1.0]
bagging_bootstrap,[True]
major_columns_to_drop_once,"['Ticket', 'Name', 'Cabin']"
major_columns_to_drop_every_time,[]
features_variations,"{'Family size': ['Both'], 'Age': ['Bin+Num'], 'Fare': ['Log+13.5']}"
feature_view,{}
