,Log_Single,KNN 8_Single,SVM rbf_Single,RF 7_Single,ET 5_Single,XGB_Single
Log_Single,1.0,0.8100998951040663,0.8741650773248852,0.8389811975576272,0.8705749498224868,0.8532241334310972
KNN 8_Single,0.8100998951040663,1.0,0.8476640905716117,0.8075046892153562,0.8603620458391388,0.7883136935143271
SVM rbf_Single,0.8741650773248852,0.8476640905716117,1.0,0.8448080499400272,0.8764387400269033,0.7571109292600811
RF 7_Single,0.8389811975576272,0.8075046892153562,0.8448080499400272,1.0,0.9150188871326035,0.8400914045743031
ET 5_Single,0.8705749498224868,0.8603620458391388,0.8764387400269033,0.9150188871326035,1.0,0.882044712614604
XGB_Single,0.8532241334310972,0.7883136935143271,0.7571109292600811,0.8400914045743031,0.882044712614604,1.0
