,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Full Cross acc,Full Cross acc STD,Full Cross acc - 3*STD,Full Train - Cross acc-STD*3,Spec Cross acc,Spec Cross acc STD,Spec Cross acc - 3*STD,Spec Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
0,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",SVM rbf C=0.1,Single,83.8,,,83.0,2.2,76.2,7.6,83.4,2.1,77.2,6.7,380,0.88,0.87,0.78,0.85,0.81,0.89,0.76,17,"['Sex', 'Age', 'Family size', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'C': 0.1, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 54, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
1,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",SVM rbf C=1,Single,86.2,,,83.5,2.0,77.6,8.6,84.6,2.0,78.7,7.5,427,0.9,0.89,0.81,0.86,0.87,0.93,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'C': 1, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 54, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
2,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",SVM rbf C=2,Single,86.5,,,83.9,2.5,76.5,10.0,84.8,1.9,79.1,7.4,408,0.92,0.9,0.81,0.86,0.88,0.94,0.75,17,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Family/ticket survival known', 'Age Bin_42+']","{'C': 2, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 54, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
