,Name,CV folds,Train acc,Cross acc,Cross acc STD,Cross acc - 3*STD,Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Classifier options
0,Log,2,84.0,82.5,1.6,77.6,6.3,9,0.89,0.87,0.78,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
1,Log,3,84.1,82.8,2.0,76.8,7.2,17,0.89,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
2,Log,5,84.1,83.0,2.4,75.7,8.4,26,0.89,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
3,Log,10,84.0,83.3,3.8,71.9,12.1,35,0.89,0.87,0.78,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 64, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
