,Log_Single,KNN 8_Single,SVM rbf_Single,RF 7_Single,ET 5_Single,XGB_Single
Log_Single,1.0,0.7556078630385153,0.8955043096569897,0.8476466643152504,0.8690501981214891,0.8147141944167964
KNN 8_Single,0.7556078630385153,1.0,0.7833459319624514,0.8193515797735683,0.8506838130230683,0.8564535549824214
SVM rbf_Single,0.8955043096569897,0.7833459319624514,1.0,0.8874499130723106,0.9191172318566814,0.8159130945390463
RF 7_Single,0.8476466643152504,0.8193515797735683,0.8874499130723106,1.0,0.9150188871326035,0.8562230711902553
ET 5_Single,0.8690501981214891,0.8506838130230683,0.9191172318566814,0.9150188871326035,1.0,0.8982293395652615
XGB_Single,0.8147141944167964,0.8564535549824214,0.8159130945390463,0.8562230711902553,0.8982293395652615,1.0
