,XGB 2_Single,XGB 3_Single,XGB 4_Single,XGB 5_Single,XGB 6_Single,XGB 7_Single
XGB 2_Single,1.0,0.883062477838598,0.8979857028946246,0.8834391231393969,0.8723076772641151,0.8730392821606804
XGB 3_Single,0.883062477838598,1.0,0.953189939927937,0.9470840916409501,0.9267621190667914,0.9364896861412868
XGB 4_Single,0.8979857028946246,0.953189939927937,1.0,0.9533679899711183,0.9739799691288452,0.9428549361060856
XGB 5_Single,0.8834391231393969,0.9470840916409501,0.9533679899711183,1.0,0.947855467341253,0.9893706293706293
XGB 6_Single,0.8723076772641151,0.9267621190667914,0.9739799691288452,0.947855467341253,1.0,0.9583841162038569
XGB 7_Single,0.8730392821606804,0.9364896861412868,0.9428549361060856,0.9893706293706293,0.9583841162038569,1.0
