,Log_Single,ET 5_Single,KNN 8_Single
Log_Single,1.0,0.9228952208892238,0.9098567565601839
ET 5_Single,0.9228952208892238,1.0,0.875617020175641
KNN 8_Single,0.9098567565601839,0.875617020175641,1.0
