,ET 5_Single,ET 6_Single,ET 7_Single,ET 8_Single,ET 9_Single,ET 10_Single,ET 11_Single
ET 5_Single,1.0,0.9786519800784713,0.9786519800784713,0.9786519800784713,0.9573382322923049,0.9733046217387071,0.957246688483432
ET 6_Single,0.9786519800784713,1.0,1.0,1.0,0.9358413968883922,0.9517692979357154,0.9463001027749228
ET 7_Single,0.9786519800784713,1.0,1.0,1.0,0.9358413968883922,0.9517692979357154,0.9463001027749228
ET 8_Single,0.9786519800784713,1.0,1.0,1.0,0.9358413968883922,0.9517692979357154,0.9463001027749228
ET 9_Single,0.9573382322923049,0.9358413968883922,0.9358413968883922,0.9358413968883922,1.0,0.9839884802441374,0.9679493342809515
ET 10_Single,0.9733046217387071,0.9517692979357154,0.9517692979357154,0.9517692979357154,0.9839884802441374,1.0,0.983932677789423
ET 11_Single,0.957246688483432,0.9463001027749228,0.9463001027749228,0.9463001027749228,0.9679493342809515,0.983932677789423,1.0
