,Log_Single,KNN 8_Single,SVM rbf_Single,RF 7_Single,ET 5_Single,XGB_Single
Log_Single,1.0,0.8246561605432094,0.9798869240947915,0.7940674761955667,0.8764387400269035,0.7721507423529176
KNN 8_Single,0.8246561605432094,1.0,0.8453691923366871,0.8502202305082337,0.8720146968769152,0.7808643122560249
SVM rbf_Single,0.9798869240947915,0.8453691923366871,1.0,0.7940674761955666,0.8764387400269033,0.7721507423529178
RF 7_Single,0.7940674761955667,0.8502202305082337,0.7940674761955666,1.0,0.9144361052933524,0.8755496207825734
ET 5_Single,0.8764387400269035,0.8720146968769152,0.8764387400269033,0.9144361052933524,1.0,0.8963711359515972
XGB_Single,0.7721507423529176,0.7808643122560249,0.7721507423529178,0.8755496207825734,0.8963711359515972,1.0
