,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Full Cross acc,Full Cross acc STD,Full Cross acc - 3*STD,Full Train - Cross acc-STD*3,Spec Cross acc,Spec Cross acc STD,Spec Cross acc - 3*STD,Spec Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
0,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",RF 9,Single,93.2,,,84.1,2.9,75.4,17.8,83.8,2.4,76.7,16.4,892,0.97,0.95,0.91,0.92,0.96,0.98,0.86,38,"['Sex', 'Age', 'SibSp', 'Parch', 'Family size', 'Fare 13.5+', 'Fare log', 'Title_Master', 'Title_Miss', 'Title_Mr', 'Title_Mrs', 'SibSpBin_0', 'SibSpBin_1', 'ParchBin_0', 'ParchBin_1', 'Family size bin_1', 'Family size bin_23', 'Family size bin_4', 'Family size bin_567', 'DeckBin_AG', 'DeckBin_B', 'DeckBin_CF', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_1', 'Pclass_2', 'Pclass_3', 'Embarked_C', 'Embarked_Q', 'Embarked_S', 'Known family/ticket survived %', 'Family/ticket survival known', 'Age Bin_-4', 'Age Bin_11-24', 'Age Bin_24-32', 'Age Bin_32-42', 'Age Bin_4-11', 'Age Bin_42+']","{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 54, 'verbose': 0, 'warm_start': False}"
1,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",RF 8,Single,92.9,,,83.7,2.7,75.6,17.3,84.3,2.0,78.3,14.7,906,0.97,0.94,0.9,0.91,0.96,0.98,0.85,27,"['Sex', 'Age', 'SibSp', 'Parch', 'Family size', 'Fare 13.5+', 'Fare log', 'Title_Master', 'Title_Miss', 'Title_Mr', 'Title_Mrs', 'SibSpBin_1', 'ParchBin_0', 'Family size bin_23', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_1', 'Pclass_2', 'Pclass_3', 'Embarked_C', 'Embarked_S', 'Known family/ticket survived %', 'Family/ticket survival known', 'Age Bin_11-24', 'Age Bin_24-32', 'Age Bin_32-42', 'Age Bin_42+']","{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 54, 'verbose': 0, 'warm_start': False}"
2,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",RF 7,Single,90.3,,,84.3,2.6,76.5,13.8,84.8,2.2,78.3,12.1,1029,0.96,0.92,0.87,0.89,0.93,0.96,0.81,8,"['Sex', 'Age', 'Family size', 'Fare log', 'Title_Mr', 'Title_Mrs', 'Pclass_3', 'Known family/ticket survived %']","{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 7, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 54, 'verbose': 0, 'warm_start': False}"
3,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",RF 6,Single,89.5,,,83.9,2.6,76.1,13.3,85.0,2.3,78.0,11.5,874,0.95,0.92,0.85,0.88,0.91,0.95,0.8,9,"['Sex', 'Age', 'Family size', 'Fare log', 'Title_Mr', 'Title_Mrs', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %']","{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 54, 'verbose': 0, 'warm_start': False}"
