,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
10,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 0.9 replace True,86.9,84.2,2.7,242,0.93,0.9,0.82,0.86,0.89,0.94,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
11,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 0.9 replace False,86.4,,,251,0.93,0.9,0.81,0.85,0.89,0.94,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
12,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 0.95 replace True,85.9,84.2,1.7,272,0.92,0.89,0.8,0.85,0.89,0.94,0.73,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
13,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 0.95 replace False,86.0,,,281,0.92,0.89,0.8,0.85,0.89,0.94,0.73,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
14,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 1.0 replace True,85.5,84.1,1.5,301,0.92,0.89,0.79,0.84,0.88,0.94,0.72,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
15,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 1.0 replace False,85.4,,,311,0.92,0.89,0.79,0.84,0.88,0.94,0.72,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
16,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 0.75 replace True,86.6,84.7,1.9,330,0.93,0.9,0.81,0.86,0.88,0.93,0.76,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
17,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 0.75 replace False,86.8,,,340,0.93,0.9,0.81,0.86,0.88,0.94,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
18,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 0.9 replace True,86.9,84.3,2.6,360,0.93,0.9,0.81,0.86,0.89,0.94,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
19,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 0.9 replace False,86.8,,,369,0.93,0.9,0.81,0.86,0.89,0.94,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
20,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 0.95 replace True,86.4,84.2,2.2,389,0.93,0.9,0.81,0.85,0.89,0.94,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
21,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 0.95 replace False,86.6,,,399,0.93,0.9,0.81,0.86,0.89,0.94,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
22,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.9 Feat 1.0 replace True,85.7,84.2,1.6,419,0.93,0.89,0.8,0.84,0.89,0.94,0.72,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.9, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
